Notes,Paper_ID,Study_Area,Area_Code,Center_Long,Center_Lat,Coor_Given,Study_Start,Study_End,Area ,Study_Region,Study_Country,Eco_Code_Olson,Eco_Num_Olson,Realm_Olson,Biome_Olson,Study_Code,Suprarealm_OneEarth,Biome_Detal,Biome_Detal_Name,Bioregion_Olson,Ecoregion_Olson,Ecoregion_OneEarth,Ecoregion_OneEarth2,Realm_OneEarth,Subrealm_OneEarth,Bioregion_OneEarth,Protected_Area,Avg_Temp_Ann,Avg_Temp_Min,Avg_Temp_Max,Avg_Precipitation,Avg_Rainfall,Avg_Snow,Snow_Period,Elev_Min,Elev_Max,Elev_Range,Range_Wolf_Dens,Avg_Wolf_Dens,n_Wolves,n_Packs,Range_Pack_Size,Avg_Pack_Size,Wolf_Notes,Livestock_Notes,Wild_Ung_Avail_n,Wild_Ung_Avail_Name,Beaver_Avail,Paper_Pred_Tot_n,Pred_Larger_n,Pred_Larger_Name,Pred_Smaller_n,Pred_Smaller_Name,OE_Pred_Tot_n,OE_Pred_Larger_n,OE_Pred_Larger_Name,OE_Pred_Smaller_n,OE_Pred_Smaller_Name,HFI,Productivity
,Jędrzejewski 2012,5.  Augustów Forest,AGF,23.21137,53.93282,,2000,2006,1350,Northeastern Poland (Region 1),Poland,PA0412,12,PA,4,JEI12AGF,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,6.8,-4.2,18.1,,569,,90 days,100,167,100-167,NR,0.024,32,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Yes,1,0,,1,Lynx (Lynx lynx),,,,,,,
Has extensive marshes,Jędrzejewski 2012,6. Biebrza National Park,BNP,22.76613,53.50889,,2001,2004,640,Northeastern Poland (Region 1),Poland,PA0412,12,PA,4,JEI12BNP,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,6.8,-4.3,18.8,,609,,94 days,100,126,100-126,NR,0.02,13,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Maybe?,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,7.  Knyszyn Forest,KSF,23.45429,53.21355,,2000,2002,1500,Northeastern Poland (Region 1),Poland,PA0412,12,PA,4,JEI12KSF,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,6.9,-4,18.4,,592,,90 days,100,205,100-205,NR,0.026,39,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,5,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Bison (Bison bonasus)",Yes,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,8.  Białowieża Forest,BPF,23.73858,52.74446,,1985,2000,600,Northeastern Poland (Region 1),Poland,PA0504,4,PA,5,JEI12BPF,PA,4,Temperate Broadleaf & Mixed Forests,PA05,80504,654,654,WEE,EMF,PA14,"47km^2 is strictly protected, expanded to 100km of protected area in 1996. From Jędrzejewski 2000",7.1,-4.3,18,,588,,83 days,135,202,135-202,NR,0.023,14,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,5,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Bison (Bison bonasus)",Yes,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,9.  Sobibór Forest,SBF,23.31585,51.45002,,2000,2005,1910,Eastern Poland (Region 2),Poland,PA0412,12,PA,4,JEI12SBF,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,6.8,-4.1,18,,510,,72 days,125,132,125-132,NR,0.028,53,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Maybe?,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,10. Roztocze,RAS-R,22.53178,50.38416,,2000,2003,8590,Eastern Poland (Region 2),Poland,PA0412,12,PA,4,JEI12RAS-R,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,,7.3,-4,18.8,,574,,60 days,125,391,125-391,NR,0.02,172,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Maybe?,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,11.  Bieszczady Mountains,BZM,22.34762,49.23326,,1998,2005,780,Southeastern Poland (Carpathian Mountains) (Region 3),Poland,PA0504,4,PA,5,JEI12BZM,PA,5,Temperate Conifer Forests,PA05,80504,692,692,WEE,EMF,PA14,,7.1,-4.3,17.5,,847,,101 days,400,1199,400-1199,NR,0.047,37,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,3,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Maybe?,2,1,Brown bear (Ursus arctos),1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,12. Beskidy Mountains,BKM,20.55617,49.52592,,1999,2004,2190,Southeastern Poland (Carpathian Mountains) (Region 3),Poland,PA0504,4,PA,5,JEI12BKM,PA,5,Temperate Conifer Forests,PA05,80504,692,692,WEE,EMF,PA14,,5.6,-5,15.6,,789,,83 days,250,1262,250-1262,NR,0.017,37,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,3,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Maybe?,2,1,Brown bear (Ursus arctos),1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,13.  Western Beskidy Mountains,WBM,19.09288,49.6225,,1997,2001,1410,Southeastern Poland (Carpathian Mountains) (Region 3),Poland,PA0504,4,PA,5,JEI12WBM,PA,5,Temperate Conifer Forests,PA05,80504,692,692,WEE,EMF,PA14,,5.5,-5.7,16.4,,898,,79 days,300,1557,300-1557,NR,0.016,23,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,3,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Maybe?,2,1,Brown bear (Ursus arctos),1,Lynx (Lynx lynx),,,,,,,
"""Three seasons can be distinguished in the Bhal region: summer (March–June), winter (November–February) and monsoon (July–October).""",Jethva 2004,Bhal area,BHA,71.97565,21.91199,NR,Jan 1996,Dec 2000,2590,Gujarat,India,IM1303,3,IM,13,JEA04BHA,IM,13,Deserts & Xeric Shrublands,IM13,41303,314,314,IND,IND,IM4,34.52 km^2 protected as Velavadar NP,NR,1,48,NR,518,NR,,,,"""just above sea level""",,,,5 (studied),,,"Avoids forested areas, primarily inhabits human dominated agro-pastoral landscapes. 5 packs studied (so at least 5 packs in area): Velavadar National Park, Vegad, Narmad, Mithapur and Adhelai",,4,"Blackbuck (Antelope cervicapra), Nilgai (Boselaphus tragocamelus), Buffalo (Bubalus bubalus), Wild boar (Sus scrofa)",No,,,,,,,,,,,,
,Jumabay-Uulu 2013,Sarychat-Ertash Reserve,SER,78.41124,41.86871,NR,June 2009,Oct 2009,1341,Tien-Shan Mountains,Kyrgyzstan,PA1019,19,PA,10,JUU13SER,PA,10,Montane Grasslands & Shrublands,PA10,81019,767,767,CEE,TSM,PA31,,,,,,,,,,,,,,,,,,,,2,"Argali, Ibex",,,,,,,,,,,,,
,Karimov 2018,Zorkul Reserve,ZOR,73.72592,37.41376,"37.45˚ N, 73.70˚ E",August 2015,August 2015,887,Tajikistan,Tajikistan,PA1014,14,PA,10,KAV18ZOR,PA,10,Montane Grasslands & Shrublands,PA10,81014,762,762,EAE,TIP,PA41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"63% open areas, 37% forest complexes (59% pine, 13% birch). Whole Grodno region is 40,100km^2. African swine fever appeared in Belarus in 2013",Klich 2021,Grodno,GRO,24.80834,53.42505,"53°25' N, 24°48' E",2010,2019,NR,Grodno region,Belarus,PA0412,12,PA,4,KLH21GRO,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,UK,NR,NR,NR,NR,NR,NR,"""Non vegetation period""/winter= Nov-Mar",NR,NR,NR,NR,NR,NR,NR,NR,NR,"""We did not possess data on the intensity of wolf hunting by humans; however, we believe that wolf hunting has increased after the wild boar population decline. We speculate that wolves hunted deer more intensively after the ASF epidemic outbreak, and this probably encouraged hunters to exploit wolves more in the Vitebsk region""","present in diet but grouped within the ""others"" category",4,"Roe deer, red deer, elk (Alces alces), wild boar",Yes,NR,NR,NR,1?,Red fox (Vulpes vulpes),,,,,,,
"72% forest complexes (52% broad leaf and 44% coniferous), 28% open areas (predominantly agricultural and meadows). Whole Vitebsk region is 25,100km^2. African swine fever appeared in Belarus in 2013",Klich 2021,Vitebsk,VIT,30.27508,55.39177,"55°23' N, 30°16' E",2010,2019,NR,Vitebsk region,Belarus,PA0436,36,PA,4,KLH21VIT,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80436,679,679,WEE,GEM,PA11,UK,NR,NR,NR,NR,NR,NR,"""Non vegetation period""/winter= Nov-Mar",NR,NR,NR,NR,NR,NR,NR,NR,NR,"""We did not possess data on the intensity of wolf hunting by humans; however, we believe that wolf hunting has increased after the wild boar population decline. We speculate that wolves hunted deer more intensively after the ASF epidemic outbreak, and this probably encouraged hunters to exploit wolves more in the Vitebsk region""","present in diet but grouped within the ""others"" category",4,"Roe deer, red deer, elk (Alces alces), wild boar",Yes,NR,NR,NR,1?,Red fox (Vulpes vulpes),,,,,,,
"There may be more wild ungulate species in area (paper just says that they are the two most abundant, not that they are the only ones). Wild forest reindeer went extinct in FInland in the early 1900's but reapperd in the late 1950's as their population expanded from Russia. Forest cover is 80% of land area (93% of forested land area is commercial forest) half of the swamps have been drained. Young successional mixed forests are common. Mean human density in area is 2/km^2 but <1/km^2 within wolf territories ",Kojola 2004,Kainuu,KAI,29.32762,64.23555,NR,1998,2000,8000,"Province of Kainuu, East-central Finland",Finland,PA0608,8,PA,6,KOA04KAI,PA,6,Boreal Forests/Taiga,PA06,80608,717,717,SUE,SWB,PA8,,NR,NR,NR,NR,NR,80,permanent snow mid Nov-early may. Snow depths peak in march ,160,307,160-307,,,"1998=5, 1999= 16, 2000=35",1-3,,NR,3 packs studied. In 1999 there were 7 adults and 9 pups. In 2000 there were 15 adults and 20 pups. Rare in the study area before 1999. in 1998 only 5 wolves (a pack of four and a lone female) were present in area. Wolf numbers declined to 14-16 due to hunting and juvenile dispersal. Annual territory sizes ranged from 600-1700km^2. Territories 2 and 3 partially overlap. Territory 1 is the only one within reindeer wintering range.,No mention,2,"Moose, Reindeer",NR,2,1,Brown bear,1,Lynx,,,,,,,
"70 cougars, 64 grizzlies, and 200 black bears, per 1000 km^2 (external estimate)",Kunkel 1999,North Fork Flathead River Glacier National Park,NFF,-114.32493,48.87192,NR,1992,1996,1000,British Columbia and Montana,Canada and USA,NA0518,18,NA,5,KUL99NFF,NA,5,Temperate Conifer Forests,NA05,50518,361,361,NOA,AMW,NA13,"No, hunting allowed by permit",NR,-9,16,NR,NR,65 cm (annual maximum),Mid-Nov to Mid-April,1024,1375,1024-1375,,0.01,21-28,3-4,,7,"10 wolves/1000 km^2 (winter density in a portion of the study area, external estimate). Number of wolves in South Camas pack: 1992=5, 1993=10, 1994=11, 1995=10, 1996=12. Number of wolves in North Camas pack: 1992=11, 1993=7, 1994=3, 1995=4, 1996=5. There were also two other packs but no names given, eventually only one pack was left of the two, the number of wolves in each of the packs was: 1992=3 and 4, 1993=5 and 6, 1994=7, 1995=10, 1996=6. Most kills located were from the north and south camas packs. Average wolf pack size of all packs (3-4) from all years was 7 (range: 3-12), North Camas and South Camas packs only (average both all years= 7.8, range: 3-12)",No mention,4,"White-tailed deer, Mule deer, Moose, Elk",NR,3,3,"Grizzly bear, black bear, cougar",NR,NR,,,,,,,
"""We grossly estimated that 300–700 elk (Kunkel and Pletscher 1999), 200–400 moose (Langley 1993), and >3,000 deer were present within our study area"". 70 cougars, 64 grizzlies, and 200 black bears, per 1000 km^2 (external estimate)",Kunkel 2004,North Fork Flathead River Glacier National Park,NFF,-114.38745,48.91899,NR,1986,1996,3000,British Columbia and Montana,Canada and USA,NA0518,18,NA,5,KUL04NFF,NA,5,Temperate Conifer Forests,NA05,50518,361,361,NOA,AMW,NA13,"mosaic of national forest, state fores and private property (USA), Canadian side is crown (fereal gov) land",NR,-9,16,NR,NR,65 cm (annual maximum),Mid-Nov to Mid-April,1024,1375,1024-1375,,,,3,,,"Approx 10 wolves/km^2 (external estimate). 3 packs studied, 2 in Montana (Camas packs), 1 in BC (Spruce pack). Wolf counts were done in may and exclude newborn pups. Over the study period pack sizes ranged from 2-12. South camas territory size was 62.8km^2 in 1993, 154.9km^2 in 1994, and 84.5km^2 in 1995. North camas pack territory size was 144.20 in 1993, 94.31 in 1994, and 79.9km^2 in 1995.",No mention,4,"White-tailed deer, Mule deer, Moose, Elk",NR,3,3,"Grizzly bear, black bear, cougar",NR,NR,,,,,,,
,Kuzyk 2006,West-Central Alberta,WCA,-119.03388,54.26792,54°N 119°W,March 2000,March 2000,5000,Alberta,Canada,NA0501,1,NA,5,KUK06WCA,NA,5,Temperate Conifer Forests,NA05,50501,345,345,NOA,AMW,NA13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lafferty 2014,Glacier Bay,GLB,-135.78877,58.58662,"58˚27′ N, 135˚43'W",May-June 2010,May-June 2011,600,Alaska,USA,NA0520,20,NA,5,LAY14GLB,NA,5,Temperate Conifer Forests,NA05,50520,360,360,SUA,ALA,NA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developed a map featuring six classes of land use. ,Lagos 2018,Valley of the river Eume (VDE),VRE,-7.84905,43.42653,NR,2003,2006,302,"Galicia, NW Spain",Spain,PA0406,6,PA,4,LAS18VRE,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80406,648,648,WEE,GEM,PA10,,8.7-14.7,NR,NR,NR,1000-2037,NR,snowfalls 2-5 times a year,200,800,200-800,0.01987-0.02318,,6-7,1-2,?-7,,"""Over the period 2003–2006, wolf population oscillated between six wolves in two different packs and seven wolves in one single pack""",Livestock fairly abundant but not as abundant as CDG,3,"Roe deer (Capreolus capreolus), wild boar (Sus scrofa) and red deer (Cervus elaphus)",No,NR,NR,NR,"Not really given, fox mentioned off hand.","Red fox (Vulpes vulpes), More?",,,,,,,
Developed a map featuring six classes of land use,Lagos 2018,Centre of the Dorsal Galega (CDG),CDG,-7.89024,43.07594,NR,2003,2006,259,"Galicia, NW Spain",Spain,PA0406,6,PA,4,LAS18CDG,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80406,648,648,WEE,GEM,PA10,,8.7-14.7,NR,NR,NR,1000-2037,NR,snowfalls 2-5 times a year,400,900,400-900,0.02317-0.06564,,"6 (2003), 16-17 (2006)",2,,,"""Wolf population consisted in two packs, which comprised a minimum of six adult wolves in 2003 and a maximum of 16–17 in 2006""",Livestock production is the main human activity in the area. Most abundant livestock of the three areas,2,"Roe deer (Capreolus capreolus), wild boar (Sus scrofa) ",No,NR,NR,NR,"Not really given, fox mentioned off hand.","Red fox (Vulpes vulpes), More?",,,,,,,
Developed a map featuring six classes of land use. ,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),SMC,-7.40741,42.01262,NR,2003,2006,247,"Galicia, NW Spain",Spain,PA1216,16,PA,12,LAS18SMC,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81216,800,800,WEE,MED,PA20,,8.7-14.7,NR,NR,NR,1000-2037,NR,snowfalls 2-5 times a year,400,1400,400-1400,0.05668-0.09717,,14-24,2-6,,,"""Wolf population varied between two packs with approximately 14 wolves in 2003 and six packs with around 24 wolves in 2006""","""Livestock is scarce and their husbandry makes them scarcely accessible to wolves""",3,"Roe deer (Capreolus capreolus), wild boar (Sus scrofa) and red deer (Cervus elaphus)",No,NR,NR,NR,"Not really given, fox mentioned off hand.","Red fox (Vulpes vulpes), More?",,,,,,,
,Lamichhane 2025,Shey Phoksundo National Park,SHP,82.94336,29.33221,29°21′29″N 82°50′44″E,April 2021,June 2021,4904,Dolpa,Nepal,PA1021,21,PA,10,LAE25SHP,PA,10,Montane Grasslands & Shrublands,PA10,81021,769,769,EAE,TIP,PA41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lanski 2012,Aggteleki National Park,ANP,20.64201,48.52513,N 48°28 E 20°29 to N 48°34 E 20°50,Dec 2000,Feb 2005,135,northeastern Hungary,Hungary,PA0431,31,PA,4,LAI12ANP,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80431,674,674,WEE,EMF,PA14,Unclear,NR,-3.1,20.7,513-782,NR,6-21,27-49,NR,NR,average = 605,,,1-5,NR,NR,NR,"extirpated from hungary by the end of the 19th century, recolonized by neighbouring populations in the 1980s. ""Minimum wolf presence in the study area was confirmed as follows: 2000/2001: one wolf, 2002: two wolves including a cub, 2003: two wolves, 2004: four or five wolves including cubs and in 2005: three wolves were observed.""","herd of free-ranging horses occupy the meadow of the NP year round. small number of cattle and ""small stock (e.g. poultry)"" kept in the villages.",4,"Wild boar, roe deer, red deer, mouflon",NR,NR,NR,NR,NR,NR,,,,,,,
,Larter 1994,Mackenzie Bison Sanctuary and Mink Lake area,MBS,-116.88483,61.65381,"61˚30′ N, 117˚00'W",Feb 1965,Dec 1971,unclear,Northwest Territories,Canada,NA0614,14,NA,6,LAR94MBS,NA,6,Boreal Forests/Taiga,NA06,80614,381,381,SUA,CBF,NA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk and mule deer were only in small portions of the study area and were at low densities.,Latham 2013,Athabasca River,AAR,-113.00932,55.94119,"55° 57′N, 113°49′W",2006,2008,21000,Alberta,Canada,NA0608,8,NA,6,LAM13AAR,NA,6,Boreal Forests/Taiga,NA06,50608,376,376,SUA,CBF,NA8,UK,NR,NR,NR,NR,NR,NR,Oct-March,500,700,500-700,0.0115,0.0115,see notes,see notes,3-22,7.8,"Increase in prey abundance has led to wolf density increasing to 0.011 wolves/km^2, nearly double what it was in 1970. Wolves have been trapped at low levels in the area but no other management. 8 packs in area but only the scats from 7 packs were able to be collected (Livock pack was too remote). This paper only mentions 8 packs in the area but Latham 2011a says there are 11 (8 used for spatial overlap with prey data, 7 used for scat) (both papers are for 2006-2008). ""Mean pack size was 7.8 and ranged 3–22 wolves per pack. Adding 13% to account for lone wolves increased the tally to 88.14 wolves and resulted in a density estimate of 11.5 wolves per 1,000 km2"" Latham 2011a.",No mention,5,"Moose (Alces alces), Caribou (Rangifer tarandus caribou), white-tailed deer (Odocoileus virginianus), Elk (Cervus elaphus) and mule deer (Odocoileus hemionus)",Yes,4,1,Black bears (Ursus americanus) ,3,"Canada lynx (Lynx canadensis), red fox (Vulpes vulpes) , and coyote (Canis latrans)",,,,,,,
"Taken from Ferretti 2019: 50.2% scrubwood, pine wood 8.4%, abandoned olive groves and pastures(partially re-colonized by wodd and bushes) 9.2%, set-aside grassland 3.9%, marshland/wetlands 3.8%, crops (mainly cereals and sunflower) 24.4%.  Max elevation = 417. Assuming lower elevation is zero because the ocean is one of the study area borders",Lazzeri 2024,Maremma Regional Park,MAR,11.08756,42.64181,"42◦39’N, 11◦05’E",April 2016,March 2023,90,Central Italy,Italy,PA1211,11,PA,12,LAI24MAR,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,yes - extent not clear,NR,9,24,NR,9.3 (june) - 81.8(nov),0,NA,0,417,max 417,NR,NR,NR,1-3,4-8,7,"Stable presence of one pack in study area since 2015. 2 packs in 2017, 3 packs  since 2019/2020. primarily nocturnal in this study area. From Ferretti 2021: ""minimal size of the main pack (i.e. the maximal number of individuals filmed together through standardized camera trapping; see Spatiotemporal overlap Section) was six to eight individuals during the cold period (November 2017–April 2018) and four or five individuals in the warm period (May–October 2018, excluding newborn pups). The minimal size of the second pack was seven individuals throughout the study year.""","20 heads/km^2 of livestock: free-ranging cattle and horses (~1000 heads total) and sheep (two herd, ~800 sheep total). Second paragraph of study area goes on to describe husbandry practices: cattle moved between pastures and scrub seasonally. calves (birthed winter-spring) stay with mother (who actively protect) for 6-8 months. anti predator fence installed in late summer 2020 to protect calves. Sheep herds protected by sheperds, guardian dogs, and/or fencing.",3,"Wild boar (Sus scrofa), fallow deer (Dama dama), roe deer (Capreolus capreolus)",No - but Coypu,1,0,NA,1,Red fox (Vulpes vulpes),,,,,,,
,Marquard-Petersen 1998,Nansen land,NAN,-33.47333,81.94578,"82°55'N, 41°30'W",1990,1995,NR,North Greenland,Greenland,NA1112,12,NA,11,MAN98NAN,NA,11,Tundra,NA11,51112,418,418,SUA,GRN,NA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marquard-Petersen 1999,Hold with Hope,HWH,-24.64955,73.72223,"73°30'N, 21°45'W",1992,1993,NR,East Greenland,Greenland,NA1112,12,NA,11,MAN98HWH,NA,11,Tundra,NA11,51112,417,417,SUA,GRN,NA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total area of forest cover = 82.3%,Mattioli 2004,Mugello (SAF),MUG,11.68879,43.83324,,1992,2000,98.7,Province of Arezzo,Italy,PA0401,1,PA,4,MAI04MUG,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80401,644,644,WEE,MED,PA19,No hunting in 54.6% of the area,NR,NR,NR,NR,NR,NR,NR,400,1600,400-1600,NR,0.032,NR,1?,NR,4.4 +/- 1.2 in summer and 3.8 +/- 1.1 in winter,"Minimum density of wolves in the province is 3.2/100km^2 (one of the highest in Europe). ""One breeding pack was present in SAF during the whole period of study"".",Present. Excluded from higher analysis,3,"Red deer, roe deer, wild boar",NR,NR,NR,NR,NR,NR,,,,,,,
Total area of forest cover = 72.6%. Area is a mosaic of mixed forest and farmland ,Mattioli 2004,Valle Santa (VS),VLS,11.94399,43.73283,,1992,2000,143.6,Province of Arezzo,Italy,PA0401,1,PA,4,MAI04VLS,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80401,644,644,WEE,MED,PA19,No hunting in 25.7% of the area,NR,NR,NR,NR,NR,NR,NR,400,1600,400-1600,NR,0.032,NR,1?,NR,4.4 +/- 1.2 in summer and 3.8 +/- 1.1 in winter,"Minimum density of wolves in the province is 3.2/100km^2 (one of the highest in Europe). ""a pack was also constantly present in VS while reproduction was not confirmed in 1997 and 1998.""",Present. Excluded from higher analysis,4,"Red deer, roe deer, fallow deer, wild boar",NR,NR,NR,NR,NR,NR,,,,,,,
Total area of forest cover = 85.6%,Mattioli 2004,Pratomagno (PM),PRA,11.75443,43.59897,,1992,2000,179.6,Province of Arezzo,Italy,PA1211,11,PA,12,MAI04PRA,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,No hunting in 30.3% of the area,NR,NR,NR,NR,NR,NR,NR,400,1600,400-1600,NR,0.032,NR,1,NR,,"Minimum density of wolves in the province is 3.2/100km^2 (one of the highest in Europe). ""During the period of study, one wolf pack was found to be present in PM, in the area of scat collection"". "" Reproduction was verified in PM in 1994 (an abandoned litter was found)""",Present. Excluded from higher analysis,3,"Roe deer, fallow deer, wild boar",NR,NR,NR,NR,NR,NR,,,,,,,
Total area of forest cover = 61.6%. Area is a mosaic of mixed forest and farmland ,Mattioli 2004,Valtiberina (VT),VAL,12.18795,43.70844,,1992,2000,385.9,Province of Arezzo,Italy,PA1211,11,PA,12,MAI04VAL,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,No hunting in 12.7% of the area,NR,NR,NR,NR,NR,NR,NR,400,1600,400-1600,NR,0.032,NR,3-4,NR,,"Minimum density of wolves in the province is 3.2/100km^2 (one of the highest in Europe). ""four different packs in VT, of which at least three were contemporaneously present every year (pers. obs.)."" ""Reproduction was verified in PM in 1994 (an abandoned litter was found) and in 1999, and in VT for two packs, in 1998 and 1999, and for tthree packs, in 2000.""",Present. Excluded from higher analysis,3,"Roe deer, fallow deer, wild boar",NR,NR,NR,NR,NR,NR,,,,,,,
"Elevation data, temp and snow data from Mattioli 2004",Mattioli 2011,Casentinesi Forest Area,CFA,11.82943,43.79958,NR,1988,2000,130,Northeastern Appenines,Italy,PA0401,1,PA,4,MAI11CFA,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80401,644,644,WEE,MED,PA19,69km^2 is a national park with no hunting and limited logging. Rest of study area (61km^2) is extensively exploited for hunting and logging,5,,,,,,94 days/year,400,1520,400-1520,0.030769-0.053846,0.04696,4-7 (mean 6.11),1,4-7,4.9,"""In this area, the presence of the Camaldoli Forest wolf pack was regularly reported from 1992 to 2000. Mean pack size in late summer was 4.9±0.9 individuals (range, 4–7). The pack showed a high fidelity to pup raising areas and reproduction was observed every year, except for 1996 (Apollonio et al. 2004)."" Fig 1: prey use ""by the wolf pack"" (1989-1999). Ratio of wild ungulates= 740/wolf in summer and 421/wolf in winter, diven densitites in Table 1 and study area size of 130 that gives a summer average of 6.096 wolves and winter average of 6.114, thus yearly average of 6.105",,4,"Roe deer (Capreolus capreolus), wild boar (sus scrofa), fallow deer (Dama dama), Red deer (Cervus elpahus)",,,,,,Red fox (Vulpes vulpes),,,,,,,
