Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Cons_Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
not available in 2 of the 3 territories from Jan-March. Scat data for April not reported by paper due to low sample size. ,Kojola 2004,Kainuu,8000,Forest reindeer,Rangifer tarandus fennicus,Rangifer tarandus fennicus,1600,,,0.2,90,external source,108,,,443,,,,,,0.211,,Wild,,,"Short april migration prior to calving dilutes the population = spacing tactic that likely decreases risk of predation. Aggregate into winter range from Jan-March. Terrain here does not allow for escape to higher elevations. In this SA they prefer mosaic of different habitat types . Better adapted (morphologically and behaviourally) to snow than other boreal ungulates as they have large dewclaws, foot loading 2.3 times smaller than moose. wolves usually fall behind when reindeer escape into deep snow, reindeer are faster than wolves on hard surfaes like lake ice (where reindeer comonly use to rest) (see discussion for sources). spatially sedentary during winter with a mean winter home range of 155km^2. Most vulnerable to wolves during autumn rut and early winter. ",,,1998-2000 (year-round except Aprils),MYR,P-2-2,AS,MWI,2,SNOW+RAD,2,KOA04KAI,KAI,2,2,1,1,POP
"Paper gives 2 moose density values: before hunting season= 375/1000km^2 , after hunting season= 250/1000km^2 (prehunting is sometime before october, post hunting is sometime after october). Presumably each value represents half the year cuz numbers cannot increase until calving in spring. The abstract says that the overall ratio is roughly 1 reindeer to 1.5 moose so we used 0.3 as density for moose. Scat data for April not reported by paper due to low sample size. ",Kojola 2004,Kainuu,8000,Moose,Alces alces,Alces alces,2400,,,0.3,200-225,"200kg for summer (may-sept) and 225kg for early winter (nov-dec). ""Mean masses of moose were calculated from the body mass of calves, yearlings, adult females and males in proportion to their prevalence among all moose killed by wolves""",481,,,443,,,,,,0.758,,Wild,,,Pop declines 30% in autumn due to hunting (375/km^2 to 250/km^2). Less well adapted to snow than reindeer. Moose footloading is 2.3 times larger than than of reindeer,,,1998-2000 (year-round except Aprils),MYR,P-1-2,HH,SSUW,2,SNOW+RAD,2,KOA04KAI,KAI,2,2,1,1,POP
,Lagos 2018,Valley of the river Eume (VDE),302,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,"average weights of adults (no source given, probably estimates)",22.4,2230,,293,41,0.1399317406,13.36,,,,,Wild,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18VRE,VRE,6,1,0,1,POP
,Lagos 2018,Valley of the river Eume (VDE),302,Wild boar,Sus scrofa,Sus scrofa,,,,,,"average weights of adults (no source given, probably estimates)",84.5,1040,,293,7,0.02389078498,2.28,,,,,Wild,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18VRE,VRE,6,1,0,1,POP
,Lagos 2018,Valley of the river Eume (VDE),302,Red deer,Cervus elaphus,Cervus elaphus,,,,,,"average weights of adults (no source given, probably estimates)",240,,,293,1,0.003412969283,0.33,,,,,Wild,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18VRE,VRE,6,1,0,1,POP
This breed is on the smaller side (wikipedia says 135kg-300kg),Lagos 2018,Valley of the river Eume (VDE),302,Galician wild ponies,Equus ferus atlanticus,Equus caballus,448,,,1.483443709,300,"average weights of adults (no source given, probably estimates)",400,450,,293,114,0.3890784983,37.13,,,,,Feral,,,feral,,,2003-2006,U,P-3-3,CNT,U,U,T,3,LAS18VRE,VRE,6,1,0,1,POP
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Valley of the river Eume (VDE),302,Cattle,Bos taurus,Bos taurus,28976,,,95.94701987,600,"average weights of adults (no source given, probably estimates)",613,57570,,293,60,0.204778157,19.54,,,,,Livestock,,,permanently in pastures,,,2003-2006,U,P-3-3,GSO,U,3,T,3,LAS18VRE,VRE,6,1,0,1,POP
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Valley of the river Eume (VDE),302,Sheep + Goats,Ovis aries + Capra hircus,Capra hircus and Ovis aries,7928,,,26.25165563,45,"average weights of adults (no source given, probably estimates)",40.55,1180,,293,33,0.1126279863,10.75,,,,,Livestock,,,,,,2003-2006,U,P-1-3,GSO,U,1,T,3,LAS18VRE,VRE,6,1,0,1,POP
,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,"average weights of adults (no source given, probably estimates)",22.4,1490,,1063,71,0.06679209784,6.39,,,,,Wild,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18CDG,CDG,5,1,0,1,POP
,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Wild boar,Sus scrofa,Sus scrofa,,,,,,"average weights of adults (no source given, probably estimates)",84.5,1650,,1063,23,0.02163687676,2.07,,,,,Wild,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18CDG,CDG,5,1,0,1,POP
This breed is on the smaller side (wikipedia says 135kg-300kg),Lagos 2018,Centre of the Dorsal Galega (CDG),259,Galician wild ponies,Equus ferus atlanticus,Equus caballus,215,,,0.8301158301,300,"average weights of adults (no source given, probably estimates)",400,250,,1063,377,0.3546566322,34.47,,,,,Feral,,,feral,,,2003-2006,U,P-3-3,CNT,U,U,T,3,LAS18CDG,CDG,5,1,0,1,POP
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Cattle,Bos taurus,Bos taurus,43727,,,168.8301158,600,"average weights of adults (no source given, probably estimates)",613,101300,,1063,260,0.2445907808,23.4,,,,,Livestock,,,,,,2003-2006,U,P-3-3,GSO,U,3,T,3,LAS18CDG,CDG,5,1,0,1,POP
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Sheep + Goats,Ovis aries + Capra hircus,Capra hircus and Ovis aries,9761,,,37.68725869,45,"average weights of adults (no source given, probably estimates)",40.55,1700,,1063,89,0.08372530574,8.01,,,,,Livestock,,,,,,2003-2006,U,P-1-3,GSO,U,1,T,3,LAS18CDG,CDG,5,1,0,1,POP
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,"average weights of adults (no source given, probably estimates)",22.4,5640,,1384,741,0.5354046243,49.04,,,,,Wild,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18SMC,SMC,5,1,0,1,POP
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Wild boar,Sus scrofa,Sus scrofa,,,,,,"average weights of adults (no source given, probably estimates)",84.5,5640,,1384,285,0.2059248555,18.86,,,,,Wild,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18SMC,SMC,5,1,0,1,POP
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Red deer,Cervus elaphus,Cervus elaphus,,,,,,"average weights of adults (no source given, probably estimates)",240,,,1384,36,0.02601156069,2.38,,,,,Wild,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18SMC,SMC,5,1,0,1,POP
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Cattle,Bos taurus,Bos taurus,2504,,,10.13765182,600,"average weights of adults (no source given, probably estimates)",613,6080,,1384,10,0.007225433526,0.66,,,,,Livestock,,,,,,2003-2006,U,P-3-3,GSO,U,3,T,3,LAS18SMC,SMC,5,1,0,1,POP
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Sheep + Goats,Ovis aries + Capra hircus,Capra hircus and Ovis aries,12328,,,49.91093117,45,"average weights of adults (no source given, probably estimates)",40.55,2250,,1384,87,0.06286127168,5.76,,,,,Livestock,,,,,,2003-2006,U,P-1-3,GSO,U,1,T,3,LAS18SMC,SMC,5,1,0,1,POP
"Season in which availability is taken for wild ungulates is not explicitly stated, only that they were taken in March-April or April-May, in some places they mention spring but then in their analyses they divide things into ""winter (January–April), summer (May–August) and autumn (September–December)""",Mattioli 2004,SAF,98.7,Roe deer,Capreolus capreolus,Capreolus capreolus,1826,,,18.5,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,457,113,24.7,,18.8,16.8,,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,"Jan 1996-Feb 2000, except 1997",MYR,P-4-4,DS,MWI,4,U,4,MAI04MUG,MUG,3,UK,UK,UK,PACK
,Mattioli 2004,SAF,98.7,Wild boar,Sus scrofa,Sus scrofa,168,,,1.7,,,84.5,,,457,352,77.1,,70.1,,,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,"Jan 1996-Feb 2000, except 1997",MYR,P-4-4,DS,MWI,4,U,4,MAI04MUG,MUG,3,UK,UK,UK,PACK
,Mattioli 2004,SAF,98.7,Red deer,Cervus elaphus,Cervus elaphus,188,,,1.9,,,240,,,457,43,9.3,,7.5,,,,Wild,,,,,,"Jan 1996-Feb 2000, except 1997",MYR,P-4-4,ROAR,MAU,4,U,4,MAI04MUG,MUG,3,UK,UK,UK,PACK
,Mattioli 2004,VS,143.6,Roe deer,Capreolus capreolus,Capreolus capreolus,3016,,,21,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,191,97,50.7,,40.7,16,,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,Mar 1997-Feb 2000,MYR,P-3-3,DS,MWI,3,U,3,MAI04VLS,VLS,3,UK,UK,UK,PACK
,Mattioli 2004,VS,143.6,Wild boar,Sus scrofa,Sus scrofa,560,,,3.9,,,84.5,,,191,112,58.5,,48.4,,,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,Mar 1997-Feb 2000,MYR,P-3-3,DS,MWI,3,U,3,MAI04VLS,VLS,3,UK,UK,UK,PACK
Total ungulates - known roe deer and wild boar. Density is Red deer (0.7/km^2) and Fallow deer (1.5/km^2),Mattioli 2004,VS,143.6,Red deer + Fallow deer,,Cervus elaphus and Dama dama,316,,,2.2,,,204.195,,,191,3,1.5,,1.2,,,,Wild,,,,,,Mar 1997-Feb 2000,MYR,P-3-3,ROAR + (DS+CNT),MAU + MWI,3,U,3,MAI04VLS,VLS,3,UK,UK,UK,PACK
,Mattioli 2004,PM,179.6,Roe deer,Capreolus capreolus,Capreolus capreolus,2945,,,16.4,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,1301,203,15.6,,10.8,14.4,,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,"Mar 1994-Feb 2000, except 1997 and 1998",MYR,P-6-6,DS,MWI,6,U,6,MAI04PRA,PRA,3,UK,UK,UK,PACK
,Mattioli 2004,PM,179.6,Wild boar,Sus scrofa,Sus scrofa,2245,,,12.5,,,84.5,,,1301,1116,85.8,,79.2,,,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,"Mar 1994-Feb 2000, except 1997 and 1998",MYR,P-6-6,DS,MWI,6,U,6,MAI04PRA,PRA,3,UK,UK,UK,PACK
,Mattioli 2004,PM,179.6,Fallow deer,Dama dama,Dama dama,611,,,3.4,,,56.2,,,1301,38,2.9,,2.2,,,,Wild,,,,,,"Mar 1994-Feb 2000, except 1997 and 1998",MYR,P-6-6,DS + CNT,MWI,6,U,6,MAI04PRA,PRA,3,UK,UK,UK,PACK
,Mattioli 2004,VT,385.9,Roe deer,Capreolus capreolus,Capreolus capreolus,14857,,,38.5,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,286,174,60.8,,53.4,16,,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,Mar 1998-Feb 2001,MYR,P-3-3,DS,MWI,3,U,3,MAI04VAL,VAL,3,UK,UK,UK,POP
,Mattioli 2004,VT,385.9,Wild boar,Sus scrofa,Sus scrofa,2586,,,6.7,,,84.5,,,286,90,31.6,,23.8,,,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,Mar 1998-Feb 2001,MYR,P-3-3,DS,MWI,3,U,3,MAI04VAL,VAL,3,UK,UK,UK,POP
,Mattioli 2004,VT,385.9,Fallow deer,Dama dama,Dama dama,2007,,,5.2,,,56.2,,,286,31,10.7,,9.2,,,,Wild,,,,,,Mar 1998-Feb 2001,MYR,P-3-3,DS + CNT,MWI,3,U,3,MAI04VAL,VAL,3,UK,UK,UK,POP
Ovis orientalis and Ovis gmellini aren't in PanTheria database so domestic sheep weight was used. available biomass prop only considers the three wild ungulate species. Livestock highly abundant but not available in winter,Mengüllüoğlu 2019,SWPA,80,Anatolian wild sheep,Ovis gmelinii anatolica,Ovis aries orientalis,58,,,0.58,40,mean winter body weights taken from another paper,34.2,29,0.089,28,3,10.71428571,10.34,10.71,,0.0569,,Wild,,,"Reintroduced. Only occupies open hilly habitats, not mountains. Migration route was cut off by construction of dam and are now confined to two main hills (see figure 1 for map). Yoy are no longer small in winter",,,2015-2017 Winter,MWI,P-1-2,DS/CNT?,SAU,1,T,2,MEU19SWP,SWP,3,5,1,4,PACK
available biomass prop only considers the three wild ungulate species,Mengüllüoğlu 2019,SWPA,80,Red deer,Cervus elaphus,Cervus elaphus,53,,,0.663,150,mean winter body weights taken from another paper,240,165,0.509,28,2,7.142857143,6.89,5,,0.0456,,Wild,,,,,,2015-2017 Winter,MWI,P-1-2,DS/CNT?,SAU,1,T,2,MEU19SWP,SWP,3,5,1,4,PACK
available biomass prop only considers the three wild ungulate species,Mengüllüoğlu 2019,SWPA,80,Wild boar,Sus scrofa,Sus scrofa,88,,,1.1,120,mean winter body weights taken from another paper,84.5,130.5,0.402,28,19,67.85714286,65.51,66.36,,0.7466,,Wild,,,,,,2015-2017 Winter,MWI,P-1-2,DS/CNT?,SAU,1,T,2,MEU19SWP,SWP,3,5,1,4,PACK
available biomass prop only considers the three wild ungulate species. Livestock highly abundant but not available in winter,Mengüllüoğlu 2019,NM,110,Red deer,Cervus elaphus,Cervus elaphus,250,,,2.275,150,mean winter body weights taken from another paper,240,341.3,0.79,81,20,24.69135802,22.73,23.1,,0.2284,,Wild,,,average group size = 1.75,,,2014-2017 Winter/Early spring ,MWS,P-1-3,CAM,SWI,1,T,3,MEU19NLM,NLM,2,5,1,4,POP
available biomass prop only considers the three wild ungulate species. Livestock highly abundant but not available in winter,Mengüllüoğlu 2019,NM,110,Wild boar,Sus scrofa,Sus scrofa,91,,,0.829,120,mean winter body weights taken from another paper,84.5,90.8,0.21,81,50,61.72839506,56.82,58.33,,0.6815,,Wild,,,average group size =  2.91,,,2014-2017 Winter/Early spring ,MWS,P-1-3,CAM,SWI,1,T,3,MEU19NLM,NLM,2,5,1,4,POP
,Meriggi 1996,Western Northern Apennines,500,Wild boar,Sus scrofa,Sus scrofa,898,,,1.7956,,,84.5,,,292,,,,11.9,,,,Wild,,,"Live in large groups, easily detectable. Births are spread throughout the years with a peak in spring and autumn. Subadults are forced out of the hear when there are new births. (ie constant supply of subadults (naive) since births happen year round)",,,Dec 1987- May 1992,MYR,P-5-5,HH,U,5,T,5,MEI96WNA,WNA,6,UK,UK,UK,POP
"""Roe deer tracks were never encountered on the transects but some individuals were occasionally observed in the western part of the study area. We therefore considered roe deer as present at lower densities than fallow deer."" should we remove fallow deer or should we set it to 0.01 or something like that ~ solution: assume they were eaten according to availability rather than creating preference",Meriggi 1996,Western Northern Apennines,500,Roe deer,Capreolus capreolus,Capreolus capreolus,0,,,,,,22.4,,,292,,,,0.7,,,,Wild,,,"Solitary and territorial, may be harder to detect, especially in forests",,,Dec 1987- May 1992,MYR,P-1-5,TS,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK,POP
,Meriggi 1996,Western Northern Apennines,500,Fallow deer,Dama dama,Dama dama,6,,,0.0121,,,56.2,,,292,,,,0.9,,,,Wild,,,,,,Dec 1987- May 1992,MYR,P-1-5,TS,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK,POP
sheeps and goats were reported collectively for density but seperately for consumption (they were combined for extraction),Meriggi 1996,Western Northern Apennines,500,Sheep and goats,Ovis aries + Capra aegagrus hircus,Capra hircus and Ovis aries,1700,,,3.4,,,40.55,,,292,,,,11.3,,,,Livestock,,,Graze from Mar-Dec,,,Dec 1987- May 1992,MYR,P-1-5,FARM,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK,POP
,Meriggi 1996,Western Northern Apennines,500,Cattle,Bos taurus,Bos taurus,3300,,,6.6,,,613,,,292,,,,6.5,,,,Livestock,,,Graze from Apr-Oct. 500 calves born on the pasture April-Sept,,,Dec 1987- May 1992,MYR,P-1-5,FARM,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK,POP
,Meriggi 1996,Western Northern Apennines,500,Horse,Equus caballus,Equus caballus,400,,,0.8,,,400,,,292,,,,1.3,,,,Livestock,,,Graze for May-Nov,,,Dec 1987- May 1992,MYR,P-1-5,FARM,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK,POP
density is the average number of wild boar hunted per km (squared here for consistency),Meriggi 1996,Central Northern Apennines,200,Wild boar,Sus scrofa,Sus scrofa,242,,,1.21,,,84.5,,,71,,,,28.6,,,,Wild,,,"Live in large groups, easily detectable. Births are spread throughout the years with a peak in spring and autumn. Subadults are forced out of the hear when there are new births. (ie constant supply of subadults (naive) since births happen year round)",,,Jan-Dec 1992,SYR,P-5-1,HH,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK,POP
"""Some fallow deer that escaped from an enclosure"", should we come up with a number for this one or just exlude it ~ solution: assume they were eaten according to availability rather than creating preference",Meriggi 1996,Central Northern Apennines,200,Fallow deer,Dama dama,Dama dama,0,,,,,,56.2,,,71,,,,1.9,,,,Wild,,,,,,Jan-Dec 1992,SYR,U,U,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK,POP
,Meriggi 1996,Central Northern Apennines,200,Sheep and goats,Ovis aries + Capra aegagrus hircus,Capra hircus and Ovis aries,3000,,,15,,,40.55,,,71,,,,46,,,,Wild,,,Free graze year round,,,Jan-Dec 1992,SYR,A,FARM,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK,POP
,Meriggi 1996,Central Northern Apennines,200,Cattle,Bos taurus,Bos taurus,2150,,,10.7,,,613,,,71,,,,5,,,,Livestock,,,"No calves born on pasture. Graze Apr-Oct. Large herds that ""exert active defence against predators"", also implies that calves are only integrated into the herd after they are two weeks old",,,Jan-Dec 1992,SYR,A,FARM,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK,POP
,Meriggi 1996,Central Northern Apennines,200,Horse,Equus caballus,Equus caballus,400,,,2,,,400,,,71,,,,0,,,,Livestock,,,Graze Apr-Oct,,,Jan-Dec 1992,SYR,A,FARM,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK,POP
,Meriggi 1996,Eastern Northern Apennines,130,Wild boar,Sus scrofa,Sus scrofa,400,,,3.1,,,84.5,,,156,,,,49.6,,,,Wild,,,"Live in large groups, easily detectable. Births are spread throughout the years with a peak in spring and autumn. Subadults are forced out of the hear when there are new births. (ie constant supply of subadults (naive) since births happen year round)",,,Dec 1990-Oct 1992,MYR,P-5-2,HH,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK,POP
,Meriggi 1996,Eastern Northern Apennines,130,Roe deer,Capreolus capreolus,Capreolus capreolus,850,,,6.5,,,22.4,,,156,,,,14.3,,,,Wild,,,"Solitary and territorial, may be harder to detect, especially in forests",,,Dec 1990-Oct 1992,MYR,P-1-2,CNT,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK,POP
,Meriggi 1996,Eastern Northern Apennines,130,Fallow deer,Dama dama,Dama dama,380,,,2.9,,,56.2,,,156,,,,18.9,,,,Wild,,,,,,Dec 1990-Oct 1992,MYR,P-1-2,CNT,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK,POP
,Meriggi 1996,Eastern Northern Apennines,130,Red deer,Cervus elaphus,Cervus elaphus,250,,,1.9,,,240,,,156,,,,2.5,,,,Wild,,,,,,Dec 1990-Oct 1992,MYR,P-1-2,CNT,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK,POP
Ovis orientalis and Ovis gmellini aren't in PanTheria database so domestic sheep weight was used,Meriggi 1996,Eastern Northern Apennines,130,Mouflon,Ovis musimon,Ovis aries musimon,50,,,0.4,,,34.2,,,156,,,,4.9,,,,Wild,,,Introduced species. Small body size. No rocky habitat available in area C to help escape from predators,,,Dec 1990-Oct 1992,MYR,P-1-2,CNT,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK,POP
,Meriggi 1996,Eastern Northern Apennines,130,Sheep and goats,Ovis aries + Capra aegagrus hircus,Capra hircus and Ovis aries,200,,,1.5,,,40.55,,,156,,,,0.7,,,,Livestock,,,Graze Apr-Oct,,,Dec 1990-Oct 1992,MYR,P-1-2,FARM,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK,POP
,Meriggi 1996,Eastern Northern Apennines,130,Cattle,Bos taurus,Bos taurus,1540,,,11.8,,,613,,,156,,,,1.3,,,,Livestock,,,680 calves born on pasture. Graze Apr-Aug,,,Dec 1990-Oct 1992,MYR,P-1-2,FARM,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,,,0.664,,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,106,57,53.8,,76.5,,,,Wild,,,"Spring is the peak season of births. Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. ",,,February 2007-March 2008,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.237,,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,106,12,11.3,,16.3,,,,Wild,,,,,,February 2007-March 2008,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,,,0.07,,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,106,4,3.8,,5.7,,,,Wild,,,,,,February 2007-March 2008,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,,,0.029,,98.5,Calculated from literature data ,240,,,106,1,0.9,,1.4,,,,Wild,,,,,,February 2007-March 2008,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,,,0.575,,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,35,12,34.3,,86.4,,,,Wild,,,"Spring is the peak season of births. Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. ",,,Sept 2008-Aug 2009,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.365,,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,35,2,5.7,,13.6,,,,Wild,,,,,,Sept 2008-Aug 2009,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,,,0.031,,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,35,0,0,,0,,,,Wild,,,,,,Sept 2008-Aug 2009,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,,,0.029,,98.5,Calculated from literature data ,240,,,35,0,0,,0,,,,Wild,,,,,,Sept 2008-Aug 2009,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,,,0.623,,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,61,16,26.2,,30.3,,,,Wild,,,"Spring is the peak season of births. Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. ",,,April 2010-April 2011,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.251,,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,61,30,49.2,,65.3,,,,Wild,,,,,,April 2010-April 2011,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK,POP
