Notes,Paper_ID,Study_Area,Area_Code,Study_Code,Center_Long,Center_Lat,Coor_Given,Study_Start,Study_End,Study_Region,Study Country,Eco_Code_Olson,Realm_Olson,Biome_Olson,Bioregion_Olson,Suprarealm_OneEarth,Realm_OneEarth,Subrealm_OneEarth,Bioregion_OneEarth,Protected_Area,Avg_Temp_Ann,Avg_Temp_Min,Avg_Temp_Max,Avg_Precipitation,Avg_Rainfall,Avg_Snow,Snow_Period,Elev_Min,Elev_Max,Elev_Range,Area ,Range_Wolf_Dens,Avg_Wolf_Dens,n_Wolves,n_Packs,Range_Pack_Size,Avg_Pack_Size,Wolf_Notes,Livestock_Notes,Wild_Ung_Avail_n,Wild_Ung_Avail_Name,Beaver_Avail,Ecoregion_OneEarth,Paper_Pred_Tot_n,Pred_Larger_n,Pred_Larger_Name,Pred_Smaller_n,Pred_Smaller_Name,OE_Pred_Tot_n,OE_Pred_Larger_n,OE_Pred_Larger_Name,OE_Pred_Smaller_n,OE_Pred_Smaller_Name,HFI,Productivity
"70 cougars, 64 grizzlies, and 200 black bears, per 1000 km^2 (external estimate)",Kunkel 1999,North Fork Flathead River Glacier National Park,NFF,KUL99NFF,-114.32493,48.87192,None given ,1992,1996,British Columbia and Montana,Canada and USA,NA0518,NA,5,NA05,NA,NOA,AMW,NA13,"No, hunting allowed by permit",NR,-9,16,NR,NR,65 cm (annual maximum),Mid-Nov to Mid-April,1024,1375,1024-1375,1000,,0.01,21-28,3-4,,7,"10 wolves/1000 km^2 (winter density in a portion of the study area, external estimate). Number of wolves in South Camas pack: 1992=5, 1993=10, 1994=11, 1995=10, 1996=12. Number of wolves in North Camas pack: 1992=11, 1993=7, 1994=3, 1995=4, 1996=5. There were also two other packs but no names given, eventually only one pack was left of the two, the number of wolves in each of the packs was: 1992=3 and 4, 1993=5 and 6, 1994=7, 1995=10, 1996=6. Most kills located were from the north and south camas packs. Average wolf pack size of all packs (3-4) from all years was 7 (range: 3-12), North Camas and South Camas packs only (average both all years= 7.8, range: 3-12)",No mention,4,"White-tailed deer, Mule deer, Moose, Elk",NR,361,3,3,"Grizzly bear, black bear, cougar",NR,NR,,,,,,,
"""We grossly estimated that 300–700 elk (Kunkel and Pletscher 1999), 200–400 moose (Langley 1993), and >3,000 deer were present within our study area"". 70 cougars, 64 grizzlies, and 200 black bears, per 1000 km^2 (external estimate)",Kunkel 2004,North Fork Flathead River Glacier National Park,NFF,KUL04NFF,-114.38745,48.91899,None given ,1986,1996,British Columbia and Montana,Canada and USA,NA0518,NA,5,NA05,NA,NOA,AMW,NA13,"mosaic of national forest, state fores and private property (USA), Canadian side is crown (fereal gov) land",NR,-9,16,NR,NR,65 cm (annual maximum),Mid-Nov to Mid-April,1024,1375,1024-1375,3000,,,,3,,,"Approx 10 wolves/km^2 (external estimate). 3 packs studied, 2 in Montana (Camas packs), 1 in BC (Spruce pack). Wolf counts were done in may and exclude newborn pups. Over the study period pack sizes ranged from 2-12. South camas territory size was 62.8km^2 in 1993, 154.9km^2 in 1994, and 84.5km^2 in 1995. North camas pack territory size was 144.20 in 1993, 94.31 in 1994, and 79.9km^2 in 1995.",No mention,4,"White-tailed deer, Mule deer, Moose, Elk",NR,361,3,3,"Grizzly bear, black bear, cougar",NR,NR,,,,,,,
Developed a map featuring six classes of land use. ,Lagos 2018,Valley of the river Eume (VDE),VRE,LAS18VRE,-7.84905,43.42653,,2003,2006,"Galicia, NW Spain",Spain,PA0406,PA,4,PA04,PA,WEE,GEM,PA10,,8.7-14.7,NR,NR,NR,1000-2037,NR,snowfalls 2-5 times a year,200,800,200-800,302,0.01987-0.02318,,6-7,1-2,?-7,,"""Over the period 2003–2006, wolf population oscillated between six wolves in two different packs and seven wolves in one single pack""",Livestock fairly abundant but not as abundant as CDG,3,"Roe deer (Capreolus capreolus), wild boar (Sus scrofa) and red deer (Cervus elaphus)",No,648,NR,NR,NR,"Not really given, fox mentioned off hand.","Red fox (Vulpes vulpes), More?",,,,,,,
Developed a map featuring six classes of land use,Lagos 2018,Centre of the Dorsal Galega (CDG),CDG,LAS18CDG,-7.89024,43.07594,,2003,2006,"Galicia, NW Spain",Spain,PA0406,PA,4,PA04,PA,WEE,GEM,PA10,,8.7-14.7,NR,NR,NR,1000-2037,NR,snowfalls 2-5 times a year,400,900,400-900,259,0.02317-0.06564,,"6 (2003), 16-17 (2006)",2,,,"""Wolf population consisted in two packs, which comprised a minimum of six adult wolves in 2003 and a maximum of 16–17 in 2006""",Livestock production is the main human activity in the area. Most abundant livestock of the three areas,2,"Roe deer (Capreolus capreolus), wild boar (Sus scrofa) ",No,648,NR,NR,NR,"Not really given, fox mentioned off hand.","Red fox (Vulpes vulpes), More?",,,,,,,
Developed a map featuring six classes of land use. ,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),SMC,LAS18SMC,-7.40741,42.01262,,2003,2006,"Galicia, NW Spain",Spain,PA1216,PA,12,PA12,PA,WEE,MED,PA20,,8.7-14.7,NR,NR,NR,1000-2037,NR,snowfalls 2-5 times a year,400,1400,400-1400,247,0.05668-0.09717,,14-24,2-6,,,"""Wolf population varied between two packs with approximately 14 wolves in 2003 and six packs with around 24 wolves in 2006""","""Livestock is scarce and their husbandry makes them scarcely accessible to wolves""",3,"Roe deer (Capreolus capreolus), wild boar (Sus scrofa) and red deer (Cervus elaphus)",No,800,NR,NR,NR,"Not really given, fox mentioned off hand.","Red fox (Vulpes vulpes), More?",,,,,,,
elk and mule deer were only in small portions of the study area and were at low densities.,Latham 2013,Athabasca River,AAR,LAM13AAR,-113.00932,55.94119,"55° 57′N, 113°49′W",2006,2008,Alberta,Canada,NA0608,NA,6,NA06,NA,SUA,CBF,NA8,UK,NR,NR,NR,NR,NR,NR,Oct-March,500,700,500-700,21000,0.0115,0.0115,see notes,see notes,3-22,7.8,"Increase in prey abundance has led to wolf density increasing to 0.011 wolves/km^2, nearly double what it was in 1970. Wolves have been trapped at low levels in the area but no other management. 8 packs in area but only the scats from 7 packs were able to be collected (Livock pack was too remote). This paper only mentions 8 packs in the area but Latham 2011a says there are 11 (8 used for spatial overlap with prey data, 7 used for scat) (both papers are for 2006-2008). ""Mean pack size was 7.8 and ranged 3–22 wolves per pack. Adding 13% to account for lone wolves increased the tally to 88.14 wolves and resulted in a density estimate of 11.5 wolves per 1,000 km2"" Latham 2011a.",No mention,5,"Moose (Alces alces), Caribou (Rangifer tarandus caribou), white-tailed deer (Odocoileus virginianus), Elk (Cervus elaphus) and mule deer (Odocoileus hemionus)",Yes,376,4,1,Black bears (Ursus americanus) ,3,"Canada lynx (Lynx canadensis), red fox (Vulpes vulpes) , and coyote (Canis latrans)",,,,,,,
Total area of forest cover = 82.3%,Mattioli 2004,Mugello (SAF),MUG,MAI04MUG,11.68879,43.83324,,1992,2000,Province of Arezzo,Italy,PA0401,PA,4,PA04,PA,WEE,MED,PA19,No hunting in 54.6% of the area,NR,NR,NR,NR,NR,NR,NR,400,1600,400-1600,98.7,NR,0.032,NR,1?,NR,4.4 +/- 1.2 in summer and 3.8 +/- 1.1 in winter,"Minimum density of wolves in the province is 3.2/100km^2 (one of the highest in Europe). ""One breeding pack was present in SAF during the whole period of study"".",Present. Excluded from higher analysis,3,"Red deer, roe deer, wild boar",NR,644,NR,NR,NR,NR,NR,,,,,,,
Total area of forest cover = 72.6%. Area is a mosaic of mixed forest and farmland ,Mattioli 2004,Valle Santa (VS),VLS,MAI04VLS,11.94399,43.73283,,1992,2000,Province of Arezzo,Italy,PA0401,PA,4,PA04,PA,WEE,MED,PA19,No hunting in 25.7% of the area,NR,NR,NR,NR,NR,NR,NR,400,1600,400-1600,143.6,NR,0.032,NR,1?,NR,4.4 +/- 1.2 in summer and 3.8 +/- 1.1 in winter,"Minimum density of wolves in the province is 3.2/100km^2 (one of the highest in Europe). ""a pack was also constantly present in VS while reproduction was not confirmed in 1997 and 1998.""",Present. Excluded from higher analysis,4,"Red deer, roe deer, fallow deer, wild boar",NR,644,NR,NR,NR,NR,NR,,,,,,,
Total area of forest cover = 85.6%,Mattioli 2004,Pratomagno (PM),PRA,MAI04PRA,11.75443,43.59897,,1992,2000,Province of Arezzo,Italy,PA1211,PA,12,PA12,PA,WEE,MED,PA19,No hunting in 30.3% of the area,NR,NR,NR,NR,NR,NR,NR,400,1600,400-1600,179.6,NR,0.032,NR,1,NR,,"Minimum density of wolves in the province is 3.2/100km^2 (one of the highest in Europe). ""During the period of study, one wolf pack was found to be present in PM, in the area of scat collection"". "" Reproduction was verified in PM in 1994 (an abandoned litter was found)""",Present. Excluded from higher analysis,3,"Roe deer, fallow deer, wild boar",NR,795,NR,NR,NR,NR,NR,,,,,,,
Total area of forest cover = 61.6%. Area is a mosaic of mixed forest and farmland ,Mattioli 2004,Valtiberina (VT),VAL,MAI04VAL,12.18795,43.70844,,1992,2000,Province of Arezzo,Italy,PA1211,PA,12,PA12,PA,WEE,MED,PA19,No hunting in 12.7% of the area,NR,NR,NR,NR,NR,NR,NR,400,1600,400-1600,385.9,NR,0.032,NR,3-4,NR,,"Minimum density of wolves in the province is 3.2/100km^2 (one of the highest in Europe). ""four different packs in VT, of which at least three were contemporaneously present every year (pers. obs.)."" ""Reproduction was verified in PM in 1994 (an abandoned litter was found) and in 1999, and in VT for two packs, in 1998 and 1999, and for tthree packs, in 2000.""",Present. Excluded from higher analysis,3,"Roe deer, fallow deer, wild boar",NR,795,NR,NR,NR,NR,NR,,,,,,,
"Elevation data, temp and snow data from Mattioli 2004",Mattioli 2011,Casentinesi Forest Area,CFA,MAI11CFA,11.82943,43.79958,None given ,1988,2000,Northeastern Appenines,Italy,PA0401,PA,4,PA04,PA,WEE,MED,PA19,69km^2 is a national park with no hunting and limited logging. Rest of study area (61km^2) is extensively exploited for hunting and logging,5,,,,,,94 days/year,400,1520,400-1520,130,0.030769-0.053846,0.04696,4-7 (mean 6.11),1,4-7,4.9,"""In this area, the presence of the Camaldoli Forest wolf pack was regularly reported from 1992 to 2000. Mean pack size in late summer was 4.9±0.9 individuals (range, 4–7). The pack showed a high fidelity to pup raising areas and reproduction was observed every year, except for 1996 (Apollonio et al. 2004)."" Fig 1: prey use ""by the wolf pack"" (1989-1999). Ratio of wild ungulates= 740/wolf in summer and 421/wolf in winter, diven densitites in Table 1 and study area size of 130 that gives a summer average of 6.096 wolves and winter average of 6.114, thus yearly average of 6.105",,4,"Roe deer (Capreolus capreolus), wild boar (sus scrofa), fallow deer (Dama dama), Red deer (Cervus elpahus)",,644,,,,,Red fox (Vulpes vulpes),,,,,,,
"Anatolian wild sheep at low numbers (40-80) despite frequent re-stocking of sheep, possibly due to wolf predation. Brown bear and lynx only occur sporatically. Wild boar are hunted for population control (minimize agricultural damage), not hunted for human consumption (religious reasons). Carcasses are either collected for hunting dog food  or left for scavengers. Ungulate pops (Except wild boar) in region declining over past two centuries due to hunting and poaching, but now beginning to recover",Mengüllüoğlu 2019,Sarıyar Wildlife Protection Area (SWPA),SWP,MEU19SWP,31.52658,40.05196,"31.300-31.600 Long, 40.000 Lat",2015,2017,Anatolia,Turkey,PA0410,PA,4,PA04,PA,WEE,BSF,PA17,,13.1,NR,NR,NR,NR,max 25cm,only seven days,460,850,460-850,80,,,,1,3-4,,"Pack is "" composed of two adult and one to two sub-adult wolves per year"". Apex predator in turkey, has never been extirpated in anatolia. 6000-8000 in Anatolia","Not available in winter but otherwise highly abundant, free grazing and corrals. Heavy over grazing on eastern half in non-winter. West half is supposed to be protected and it is illegal to graze livestock there but it still happens.",3,"Anatolian wild sheep (Ovis gmelinii), Red deer (Cervus elaphus), Wild boar (Sus scrofa)",No,652,5,1,Brown bear (Ursus arctos),4,"Golden Jackal (Canis aureus), Eurasian lynx (Lynx lynx), Red fox (Vulpes vulpes), Jungle cat (Felis chaus)",,,,,,,
"no livestock flocks grazed there in winter (time of scat collection). Lynx there are lagomorph specialists. Wild boar are hunted for population control (minimize agricultural damage), not hunted for human consumption (religious reasons). Carcasses are either collected for hunting dog food  or left for scavengers. Ungulate pops (Except wild boar) in region declining over past two centuries due to hunting and poaching but now beginning to recover",Mengüllüoğlu 2019,Nallıhan Mountains(NM),NLM,MEU19NLM,31.53120,40.25653,"31.300-31.600 Long, 40.100-40.300 Lat",2014,2017,Anatolia,Turkey,PA0515,PA,5,PA05,PA,WEE,BSF,PA17,,9.6,NR,NR,543,NR,stays for more than a month at elevatiosn >1000,,500,1500,500-1500,400,,,,several,4-8,,"Estimated wolf group size per camera capture as 3.4 ind (1-8 adults and subadults together). Pack sizes ""determined to be a minimum of four to eight wolves per four encountered packs"". ""Apex predator"" in turkey, has never been extirpated in anatolia. 6000-8000 in Anatolia","Not available in winter but otherwise highly abundant, free grazing and corrals. Over-grazing is not as extreme as the other SA.",2,"Red deer (Cervus elaphus), Wild boar (Sus scrofa)",No,703,5,1,Brown bear (Ursus arctos),4,"Golden Jackal (Canis aureus), Eurasian lynx (Lynx lynx), Red fox (Vulpes vulpes), Jungle cat (Felis chaus)",,,,,,,
"""Area A"". ""low wild and domestic ungulate availability"". mixed woods = 24% of the whole area, beech woods = 32%, conifer reafforestation = 3%, pastures= 26% and scrub = 8%. ""Cultivated fields were restricted to the immediate areas of the sparse small villages"" ""In all study areas the human population has decreased by 80% over the last thirty years. The climate of the three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall."" ""The climate of tthe three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall.""",Meriggi 1996,Western Northern Apennines,WNA,MEI96WNA,9.19822,44.65559,None given ,1987,1992,Western Northern Apennines,Italy,PA0401,PA,4,PA04,PA,WEE,MED,PA19,"""Cultivated fields were restricted to the immediate areas of the sparse small villages""",NR,NR,NR,NR,NR,NR,NR,800,1700,800-1700,500,,,15,3,,NR,Species should still be considered endangered due to population fragmentation and low genetic diversity. 15 wolves across 3 packs,"low domestic ungulate availability. Horses, cattle, sheeps and goat",3,"Wild boar, roe deer, fallow deer",No,644,NR,0,NA,NR,NR,,,,,,,
"""Area B"". ""high availability of livestock"". Woods =64% (mostly beech and chestnut), pastures=14%, scrub=19%, and cultivated fields=19%. ""In all study areas the human population has decreased by 80% over the last thirty years. The climate of the three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall."" ""The climate of tthe three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall.""",Meriggi 1996,Central Northern Apennines,CNA,MEI96CNA,9.76184,44.43044,None given ,1992,1992,Central Northern Apennines,Italy,PA0401,PA,4,PA04,PA,WEE,MED,PA19,,NR,NR,NR,NR,NR,NR,NR,500,1650,500-1650,200,,,5,unclear if any,,NR,"Species should still be considered endangered due to population fragmentation and low genetic diversity. ""About five wolves were recorded and no evidence of reproduction was found.""","""high availability of livestock"". Horse, cattle, sheep and goat",1,Wild boar,No,644,NR,0,NA,NR,NR,,,,,,,
"""Area C"". ""high availability of wild ungulates"". Forest=81% (mixed+58%, beech=26%, conifer=16%) pasture=14%, scrub=3%, cultivated areas=2%. ""In all study areas the human population has decreased by 80% over the last thirty years. The climate of the three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall."" ""The climate of tthe three study areas was submediterranean with rainfall concentrated in spring and autumn, mild winters and reduced snowfall.""",Meriggi 1996,Eastern Northern Apennines,ENA,MEI96ENA,11.79114,43.95001,None given ,1990,1992,Eastern Northern Apennines,Italy,PA1211,PA,12,PA12,PA,WEE,MED,PA19,,NR,NR,NR,NR,NR,NR,NR,550,1660,550-1660,130,,,15,2,,NR,"Species should still be considered endangered due to population fragmentation and low genetic diversity. 15 wolves total, 2 packs and some single ind","""high availability of wild ungulates"". Cattle and sheep and goat",5,"Roe deer, Wild boar, Fallow deer, Red deer, Mouflon",No,795,NR,NR,NR,NR,NR,,,,,,,
"Study area= 39.5% woods, 29.4% scrublands, 17.1% cultivated fields, 13.7% pastures.  ""In the area there were small and interspersed villages, with large portions of uninhabited land due to depopulation of the mountain areas (human population density: 19 individuals per km2)."" ""The use of livestock was limited, and even more limited was the use of other categories such as small mammals, medium-sized mammals and fruits; consequently, the diet showed a low breadth."" "" In addition, the abundance of livestock and farming methods differ greatly from the Alps to the Apennines and in different parts of the Apennines, creating great variability in the availability of livestock in Italy and, consequently, in the trophic habits of the wolf (ISTAT 2003).""",Meriggi 2015,Emilia Romagna and Lombardy Regions,ERL,MEI15ERL,9.33898,44.75116,"44°46ʹ17.40ʹʹN, 9°23ʹ11.04ʹʹE",2007,2012,Western Northern Apennines,Italy,PA1211,PA,12,PA12,PA,WEE,MED,PA19,,9,1 (January),18 (July),950,NR,NR,NR,500,1700,500-1700,927.3,,,,5,,4.8,"In the 1970's, only 100 wolves in italy and only present in two remote areas of south central appenines. Legal protections led to wolves recolonizing the study area in the late 1980's. ""Wolves colonized the area in the late 1980s (the first wolf was illegally killed in 1987), when the wild ungulate guild was composed mainly by wild boars (600 individuals shot per year), while roe deer was beginning to colonise the area; fallow deer was present in a few sites, and red deer was absent. At that time, the occurrence of wild ungulates in the wolf diet was 19.4% (wild boar 17.1%, roe deer 0.8% and fallow deer 1.6%) and that of livestock was 25.6%. Other important food categories in the wolf diet were vegetables (59.7%), small mammals (26.4%), invertebrates (23.3%) and medium-sized mammals (10.1%), the sum of the percentage frequencies exceeding 100 because of the contemporary occurrence of more than one category in the same sample (MERIGGI et al. 1991, 1996; MILANESI et al. 2012). Wolves are present in the study area with five main packs of 4.8 (SD = 2.17) individuals on average, and a small number of lone wolves estimated by snow-tracking, wolf-howling and camera-trapping. Legal control of wolves is not practiced in the study area; however, 4–6 wolves were illegally killed between 2005 and 2012.""","""Livestock (cattle, goats, sheep and horses) was free-grazing from April to October with births occurring on the pastures and inspected one time per week. The main productive aim was meat production."" ""Prevention methods such as the presence of large shepherd dogs, adequate fences, anti-wolf fences and regular surveillance of pastures are rarely adopted but have been increasing in the last 2 years.""",4,"Red deer, fallow deer, roe deer, wild boar",Unclear,795,NR,NR,NR,NR,NR,,,,,,,
for sheet 5.1 only,Metz 2012,Yellowstone National Park-Northern Range,YNP-N,MEZ12YNP-N,-110.50740,44.99228,,1995,2009,Wyoming,USA,NA0528,NA,5,NA05,NA,NOA,AMW,NA13,,,,,,,,,,,,1530,,,,,,,,,,,,367,,,,,,,,,,,,
Roztocze has heavily fragmented forest interspersed with large agriculture areas and villages. Solska forest is compact forest. Beavers present but relatively low. Free ranging domestic dogs are bundant in natural habitats across Poland. Lynx here prey almost exclusively on roe deer (Author cites another one of their papers),Mysłajek 2022,Roztocze and Solska Forest,RAS,MYK22RAS,23.04766,50.468,"central point= 50°30′N, 23°00′N",2017,2020,South-east Poland,Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,Roztocze National Park (84.8 km^2) and multiple Natura 2000 special areas of conservation,NR,-2.9,19.1,691,NR,NR,NR,NR,390,390 max,1300,,,NR,5,,NR,"Present in the region throughout the second half of the 20th century. Heavily persecuted, then protected in Poland in 1998. At least 5 wolf family groups recorded in area at the beggining of the 21rst century. Wolf territories spanned both Roztocze and the Solska Forest (so the areas were considered as one). Part of the baltic subpopulation of wolves.","""During vegetation season, cattle, horses and sheep are grazed on pastures surrounding forest tracks, especially in the Roztocze region (Dziaducha 2021). Furthermore, the Roztocze National Park supports small herds of heritage breeds of horses, cattle and sheep (altogether ca. 120 individuals) grazed on pasture inside the park.""",5,"Moose, roe deer, red deer, wild boar, fallow deer",Yes,654,2,0?,,2,"Eurasian lynx (Lynx lynx), Red fox (Vulpes vulpes)",,,,,,,
,Nelson 2016,Greater Yellowstone Ecosystem,GYE,NEN16GYE,-109.59807,44.75371,None given ,2007,2010,,USA,NA0528,NA,5,NA05,NA,NOA,AMW,NA13,,,,,,,,,,,,None given ,,,,,,,,,,,,367,,,,,,,,,,,,
,Nowak 2005,Carpathian Mountains,CPM,NOK05CPM,19.10737,49.7234,"49°23’–49°53’ N, 18°45’–19°48’ E",1997,2001,,Poland,PA0504,PA,5,PA05,PA,WEE,EMF,PA14,Only 1% of forests are protected and located in a few nature reserves,,-3 - -6 (Jan),12 - 16 (July),,,,80-160 days,300,1557,300-1557,745,,,,,,,Wolves are protected in Poland but there is a 2 month hunting season in winter in slovakia,"""There are some agriculture and livestock farms, where small sheep and goat flocks are an important source of income""",,,,692,2,1,Brown bear (Ursus arctos),1,Lynx (Lynx lynx),,,,,,,
Mouflon and Fallow deer were introduced for game hunting but are present at low densitites (Mouflons were said to be present but not reported in diet or as a % of the species community),Nowak 2011,Bydgoszcz Forest,BYD,NOK11BYD,18.31349,52.98677,"N 52°50'–53°07', E 17°41'–18°45'",2002,2009,Central Poland,Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,8.4,-2.7,18.2,NR,525,NR,50-80 days ,NR,116,116(highest)-?,640,,,,1 or 2,,<5-7,"Protected since 1998 in Poland. Permanent wolf presence since 2004. ""During the study period in each of our study sites only one, or eventually two resident wolf packs were present.""",Livestock in agricultural areas around the forest,5,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Fallow deer (Dama dama), Mouflon (Ovis gmelinii)",Yes,654,1,0,0,1,Red fox (Vulpes vulpes),,,,,,,
"Mouflon and Fallow deer were introduced for game hunting but are present at low densitites (Mouflons were said to be present but not reported in diet or as a % of the species community).  ""vegetation season length is 200-213 days"" is this the opposite of snow period? (ie. snow period would be 152-165 days?)",Nowak 2011,Wałcz Forest,WLF,NOK11WLF,16.64616,53.56762,"N 53°03'–53°38', E 16°04'–16°56'",2002,2009,North West Poland,Poland,PA0405,PA,4,PA04,PA,WEE,GEM,PA10,,8.1,NR,,NR,520,NR,see notes,100,205,100-205,1000,,,,1 or 2,,5-7,"Protected since 1998 in Poland. Recolonized in 2002. ""During the study period in each of our study sites only one, or eventually two resident wolf packs were present.""",Livestock in agricultural areas around the forest,5,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Fallow deer (Dama dama), Mouflon (Ovis gmelinii)",Yes,647,1,0,0,1,Red fox (Vulpes vulpes),,,,,,,
"Mouflon and Fallow deer were introduced for game hunting but are present at low densitites (Mouflons were said to be present but not reported in diet or as a % of the species community).   ""vegetation season length is 230-260 days""",Nowak 2011,Rzepin Forest,RZF,NOK11RZF,15.01472,52.23239,"N 52°02'-52°21', E 14°35'-15°28'",2002,2009,West Poland,Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,8.3,see notes,see notes,NR,550,NR,see notes,NR,106,106 (highest),950,,,,1 or 2,,5-7,"Protected since 1998 in Poland. Resident wolves since 2004. ""During the study period in each of our study sites only one, or eventually two resident wolf packs were present.""",Livestock in agricultural areas around and within the forest,5,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Fallow deer (Dama dama), Mouflon (Ovis gmelinii)",Yes,654,1,0,0,1,Red fox (Vulpes vulpes),,,,,,,
"Mouflon and Fallow deer were introduced for game hunting but are present at low densitites (Mouflons were said to be present but not reported in diet or as a % of the species community). ""vegetation season length is 220 days""",Nowak 2011,Lower Silesian Forest,LSF,NOK11LSF,15.33486,51.42273,"N 51°14'-51°37', E 14°44'-15°54'",2002,2009,West Poland,Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,8,see notes,see notes,NR,520-700,NR,see notes,107,235,107-235,1700,,,,1 or 2,,<5-7,"Protected since 1998 in Poland. Individual wolves since 2001, first resident pack established 2007. ""During the study period in each of our study sites only one, or eventually two resident wolf packs were present.""",Livestock in agricultural areas around and within the forest,5,"Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Fallow deer (Dama dama), Mouflon (Ovis gmelinii)",Yes,654,1,0,0,1,Red fox (Vulpes vulpes),,,,,,,
,Petridou 2019,Central Continental Greece,CCG,PEU19CCG,22.17873,39.05516,,2010,2012,,Greece,PA1201,PA,12,PA12,PA,WEE,MED,PA18,,,,,,,,,,,,612,,0.02450980392,15,2,NR,NR,15 indivuals belonging to 2 packs,,,,,785,NR,NR,NR,NR,NR,,,,,,,
0.24 black bear per km^2,Popp 2018,Great Lakes Region,GLR,POP18GLR,-80.82448,46.29197,"46° 20′30″N, 80° 50′ 30″W–46° 11′ 30″N, 80° 50′ 00″W",2013,2015,"Burwash region, Ontario ",Canada,NA0406,NA,4,NA04,NA,NOA,NAF,NA11,NR,NR,-12.5 (January mean),15 (July mean),NR,NR,average depth= 28cm (Dec-Feb),unclear,NR,300,max 300,450,0.2-0.3,,NR,NR,,NR,Wolves frequently hybridize with coyotes or other wolf-coyotes hybrids. 0.2-0.3km^2 wolves/hybrids,No mention,3,"Elk (Cervus elaphus), Moose (Alces alces), white-tailed deer (Odocoileus virginianus)",Yes,333,2,1,Black bear (Ursus americanus),1,coyotes (Canis latrans),,,,,,,
,Potvin 1988,Lake Stubbs,LKS,PON88LKS,-76.40710,46.2163,None given ,1974,1976,Laurentide Quebec,Canada,NA0406,NA,4,NA04,NA,NOA,NAF,NA11,,,-18,,,,274 (avg 62 days with depths >50 cm),,225,450,225-375 (occasionally exceeds 450),500,,,5-10,,,,1-2 wolves/100km2,,,,,333,,,,,,,,,,,,
,Potvin 1988,Papineau-Labelle reserve,PLR,PON88PLR,-75.21715,46.11183,None given ,1980,1984,Laurentide Quebec,Canada,NA0406,NA,4,NA04,NA,NOA,NAF,NA11,,,,,,,274 (avg 62 days with depths >50 cm),,225,450,225-375 (occasionally exceeds 450),2500,,,70,10,,,2.8/100km2,,,,,333,,,,,,,,,,,,
,Sand 2016,South-central Scandinavia,SCA,SAD16SCA,14.83519,60.28098,"58˚50'-61˚40'N, 11˚00'-18˚40' E",2001,2014,Scandinavia,Norway and Sweden,PA0608,PA,6,PA06,PA,SUE,SWB,PA8,,,-5,15,NR,NR,28.3 (2SE = +/- 9.1),NR,NR,NR,NR,164-1475 (mean= 766.27),need to calc for,need to calc for,92 in 2001 to 400 in 2014,17,2-9,4.35,"""average wolf population size increased from 92 (range 87–97, total count) to 400 (95% CI: 316–520) individuals"". Beavers, hare, grousse, and capercaillie present but make up low amounts of ingested wolf biomass. ""A risk-aversive strategy among Scandinavian wolves is further supported by the strong preference for young-of-the-year when preying on moose""",None,6,"Moose (Alces alces), Roe deer, Red deer (not widely available), Fallow deer (not widely available), wild boar (not widely available), semi-domestic reindeer (not widely available)",Yes,717,3,1,Brown bear (Ursus arctos),2,"Lynx (Lynx lynx), Wolverine (Gulo gulo)",,,,,,,
,Sears 2003,Frontenac Axis Region,FAR,SES03FAR,-77.00310,45.16057,"45°15'N, 77° W",1996,1998,Ontario ,Canada,NA0406,NA,4,NA04,NA,NOA,NAF,NA11,,,,,,,,,,,,1365,,,,,,,,,,,,333,,,,,,,,,,,,
,Shrotriya 2022,Ladakh and Spiti Trans-Himalayan Regions ,LSH,SHA22LSH,77.68098,33.62465,"31°30'-35°12' N, 76°-79° E",2014,2018,,India,PA1006,PA,10,PA10,PA,EAE,TIP,PA41,,,,,,,,,,,,60356,,,,,,,,,,,,754,,,,,,,,,,,,
